Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 49,522,309, val samples: 2,494,517
model: 1.81M params
step   5500 | lr 3.00e-04 | loss 0.9341 pol 0.9197 rf 0.0723 acc 69.4% | 15 it/s
step   5600 | lr 3.00e-04 | loss 0.9538 pol 0.9396 rf 0.0713 acc 68.0% | 15 it/s
step   5700 | lr 3.00e-04 | loss 0.9391 pol 0.9275 rf 0.0583 acc 69.0% | 15 it/s
step   5800 | lr 3.00e-04 | loss 0.8880 pol 0.8795 rf 0.0425 acc 71.3% | 15 it/s
step   5900 | lr 3.00e-04 | loss 0.8975 pol 0.8883 rf 0.0460 acc 70.8% | 15 it/s
step   6000 | lr 3.00e-04 | loss 0.9076 pol 0.8978 rf 0.0486 acc 70.4% | 15 it/s
[eval] step 6000 val_loss 0.9307 val_acc 69.8%
  -> saved best (0.9307)
step   6100 | lr 3.00e-04 | loss 0.9150 pol 0.9037 rf 0.0566 acc 69.8% | 15 it/s
step   6200 | lr 3.00e-04 | loss 0.9167 pol 0.9052 rf 0.0572 acc 69.5% | 15 it/s
step   6300 | lr 3.00e-04 | loss 0.9386 pol 0.9269 rf 0.0588 acc 68.7% | 15 it/s
step   6400 | lr 3.00e-04 | loss 0.9414 pol 0.9295 rf 0.0596 acc 68.3% | 15 it/s
step   6500 | lr 3.00e-04 | loss 0.9608 pol 0.9486 rf 0.0606 acc 68.3% | 15 it/s
step   6600 | lr 3.00e-04 | loss 0.9621 pol 0.9498 rf 0.0612 acc 68.7% | 15 it/s
step   6700 | lr 3.00e-04 | loss 0.9579 pol 0.9444 rf 0.0675 acc 68.4% | 15 it/s
step   6800 | lr 3.00e-04 | loss 0.9475 pol 0.9340 rf 0.0675 acc 68.3% | 15 it/s
step   6900 | lr 3.00e-04 | loss 0.9356 pol 0.9236 rf 0.0598 acc 68.9% | 15 it/s
step   7000 | lr 3.00e-04 | loss 0.9161 pol 0.9045 rf 0.0579 acc 69.6% | 15 it/s
step   7100 | lr 3.00e-04 | loss 0.9192 pol 0.9059 rf 0.0666 acc 70.0% | 15 it/s
step   7200 | lr 2.99e-04 | loss 0.9160 pol 0.9025 rf 0.0676 acc 70.0% | 15 it/s
step   7300 | lr 2.99e-04 | loss 0.9599 pol 0.9462 rf 0.0686 acc 69.0% | 15 it/s
step   7400 | lr 2.99e-04 | loss 0.9583 pol 0.9451 rf 0.0660 acc 68.8% | 15 it/s
step   7500 | lr 2.99e-04 | loss 0.9351 pol 0.9219 rf 0.0661 acc 69.5% | 15 it/s
step   7600 | lr 2.99e-04 | loss 0.9314 pol 0.9170 rf 0.0718 acc 69.6% | 15 it/s
step   7700 | lr 2.99e-04 | loss 0.9502 pol 0.9365 rf 0.0686 acc 68.5% | 15 it/s
step   7800 | lr 2.99e-04 | loss 0.9445 pol 0.9309 rf 0.0681 acc 68.1% | 15 it/s
step   7900 | lr 2.99e-04 | loss 0.9546 pol 0.9405 rf 0.0705 acc 68.0% | 15 it/s
step   8000 | lr 2.99e-04 | loss 0.9552 pol 0.9405 rf 0.0735 acc 68.1% | 15 it/s
[eval] step 8000 val_loss 0.9881 val_acc 69.5%
step   8100 | lr 2.99e-04 | loss 0.9458 pol 0.9335 rf 0.0614 acc 69.3% | 14 it/s
step   8200 | lr 2.99e-04 | loss 0.9482 pol 0.9368 rf 0.0568 acc 69.1% | 14 it/s
step   8300 | lr 2.99e-04 | loss 0.9035 pol 0.8935 rf 0.0502 acc 70.8% | 14 it/s
step   8400 | lr 2.99e-04 | loss 0.9320 pol 0.9175 rf 0.0727 acc 69.5% | 14 it/s
step   8500 | lr 2.99e-04 | loss 0.9363 pol 0.9223 rf 0.0697 acc 69.0% | 14 it/s
step   8600 | lr 2.99e-04 | loss 0.9538 pol 0.9398 rf 0.0702 acc 67.7% | 14 it/s
step   8700 | lr 2.99e-04 | loss 0.9545 pol 0.9425 rf 0.0597 acc 67.8% | 14 it/s
step   8800 | lr 2.99e-04 | loss 0.9352 pol 0.9257 rf 0.0476 acc 68.6% | 14 it/s
step   8900 | lr 2.99e-04 | loss 0.9483 pol 0.9377 rf 0.0530 acc 68.6% | 14 it/s
step   9000 | lr 2.99e-04 | loss 0.9519 pol 0.9399 rf 0.0599 acc 68.8% | 14 it/s
step   9100 | lr 2.99e-04 | loss 0.9281 pol 0.9173 rf 0.0538 acc 69.9% | 14 it/s
step   9200 | lr 2.99e-04 | loss 0.9081 pol 0.8975 rf 0.0527 acc 70.9% | 14 it/s
step   9300 | lr 2.99e-04 | loss 0.9291 pol 0.9170 rf 0.0603 acc 69.5% | 14 it/s
step   9400 | lr 2.99e-04 | loss 0.9432 pol 0.9296 rf 0.0682 acc 68.3% | 14 it/s
step   9500 | lr 2.99e-04 | loss 0.9291 pol 0.9157 rf 0.0668 acc 69.3% | 14 it/s
step   9600 | lr 2.99e-04 | loss 0.9125 pol 0.8988 rf 0.0683 acc 69.9% | 14 it/s
step   9700 | lr 2.99e-04 | loss 0.9193 pol 0.9053 rf 0.0698 acc 69.7% | 14 it/s
step   9800 | lr 2.99e-04 | loss 0.9181 pol 0.9039 rf 0.0712 acc 69.6% | 14 it/s
step   9900 | lr 2.99e-04 | loss 0.9316 pol 0.9202 rf 0.0569 acc 68.9% | 14 it/s
step  10000 | lr 2.99e-04 | loss 0.9343 pol 0.9248 rf 0.0473 acc 68.5% | 14 it/s
[eval] step 10000 val_loss 1.0173 val_acc 69.1%
step  10100 | lr 2.99e-04 | loss 0.9279 pol 0.9153 rf 0.0627 acc 69.7% | 14 it/s
