Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 35,609,201, val samples: 2,090,714  (filter num_players=6, suit_permute=True)
model: 1.81M params
step   5500 | lr 2.99e-04 | loss 1.1179 pol 1.1096 rf 0.0829 acc 69.9% | 13 it/s
step   5600 | lr 2.99e-04 | loss 1.1120 pol 1.1033 rf 0.0875 acc 70.2% | 13 it/s
step   5700 | lr 2.99e-04 | loss 1.1058 pol 1.0970 rf 0.0880 acc 69.9% | 13 it/s
step   5800 | lr 2.99e-04 | loss 1.1102 pol 1.1021 rf 0.0803 acc 68.9% | 13 it/s
step   5900 | lr 2.99e-04 | loss 1.1171 pol 1.1089 rf 0.0822 acc 68.7% | 13 it/s
step   6000 | lr 2.99e-04 | loss 1.1072 pol 1.1002 rf 0.0702 acc 70.3% | 13 it/s
[eval] step 6000 val_loss 1.1137 val_acc 70.5%
step   6100 | lr 2.99e-04 | loss 1.0945 pol 1.0887 rf 0.0581 acc 70.8% | 13 it/s
step   6200 | lr 2.99e-04 | loss 1.1144 pol 1.1060 rf 0.0847 acc 69.2% | 13 it/s
step   6300 | lr 2.99e-04 | loss 1.1100 pol 1.1019 rf 0.0807 acc 69.5% | 13 it/s
step   6400 | lr 2.99e-04 | loss 1.1194 pol 1.1118 rf 0.0765 acc 68.4% | 13 it/s
step   6500 | lr 2.99e-04 | loss 1.1264 pol 1.1211 rf 0.0534 acc 68.4% | 13 it/s
step   6600 | lr 2.99e-04 | loss 1.1231 pol 1.1179 rf 0.0526 acc 68.6% | 13 it/s
step   6700 | lr 2.99e-04 | loss 1.1115 pol 1.1042 rf 0.0733 acc 70.1% | 13 it/s
step   6800 | lr 2.99e-04 | loss 1.0951 pol 1.0889 rf 0.0621 acc 71.0% | 13 it/s
step   6900 | lr 2.99e-04 | loss 1.0939 pol 1.0876 rf 0.0638 acc 71.0% | 13 it/s
step   7000 | lr 2.99e-04 | loss 1.1105 pol 1.1030 rf 0.0753 acc 68.8% | 13 it/s
step   7100 | lr 2.99e-04 | loss 1.1027 pol 1.0948 rf 0.0793 acc 69.7% | 13 it/s
step   7200 | lr 2.99e-04 | loss 1.0976 pol 1.0897 rf 0.0786 acc 70.0% | 13 it/s
step   7300 | lr 2.99e-04 | loss 1.1036 pol 1.0952 rf 0.0837 acc 69.6% | 13 it/s
step   7400 | lr 2.98e-04 | loss 1.1042 pol 1.0960 rf 0.0820 acc 69.4% | 13 it/s
step   7500 | lr 2.98e-04 | loss 1.1245 pol 1.1189 rf 0.0557 acc 68.5% | 13 it/s
